experiment,model_family,generation,best_fitness,mean_fitness,diversity,best_genes,recall_pos,f1_pos,auc_roc,accuracy
GA-Conservador,random_forest,8,0.9198628120830513,0.9081162519583443,16,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 500}",0.9142857142857143,0.9014084507042254,0.9702544031311154,0.9351851851851852
GA-Conservador,random_forest,9,0.9198628120830513,0.9134120321663699,14,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 500}",0.9142857142857143,0.9014084507042254,0.9702544031311154,0.9351851851851852
GA-Conservador,random_forest,10,0.9249521635138072,0.9122803066566239,15,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,11,0.9249521635138072,0.9089318251517927,16,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,12,0.9249521635138072,0.9098270628838472,16,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,13,0.9249521635138072,0.9114673681081993,16,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,14,0.9249521635138072,0.904512994273999,14,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,15,0.9249521635138072,0.9107013351672739,12,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,16,0.9249521635138072,0.9141806600614704,12,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,17,0.9249521635138072,0.9143289122169966,10,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Conservador,random_forest,18,0.9249521635138072,0.9147926391943655,9,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}",0.9142857142857143,0.9142857142857143,0.9753424657534246,0.9444444444444444
GA-Exploratorio,random_forest,0,0.9114693411611219,0.893074819618082,20,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 5, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 15, ""n_estimators"": 150}",0.9142857142857143,0.8767123287671232,0.9698630136986301,0.9166666666666666
GA-Exploratorio,random_forest,1,0.9196866868384329,0.8951818916102809,20,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 150}",0.9142857142857143,0.9014084507042254,0.9690802348336596,0.9351851851851852
GA-Exploratorio,random_forest,2,0.9198041036681786,0.9057419012062505,18,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,3,0.9198041036681786,0.9044977529974416,18,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,4,0.9198041036681786,0.9025834442875063,19,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,5,0.9198041036681786,0.8979798843539424,20,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,6,0.9198041036681786,0.9070620175950379,20,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,7,0.9198041036681786,0.9017575826265943,19,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,8,0.9198041036681786,0.9045944759328611,20,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,9,0.9198041036681786,0.9052106616838012,18,"{""class_weight"": null, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 50}",0.9142857142857143,0.9014084507042254,0.9698630136986301,0.9351851851851852
GA-Exploratorio,random_forest,10,0.9245999130245703,0.9048858812623045,19,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,11,0.9245999130245703,0.8967569982450166,20,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,12,0.9245999130245703,0.8972368889459933,19,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,13,0.9245999130245703,0.900735916914806,19,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,14,0.9245999130245703,0.8978911694315558,20,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,15,0.9245999130245703,0.9015553219650195,19,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,16,0.9245999130245703,0.8986278870346132,18,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,17,0.9245999130245703,0.9058356808117981,18,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
GA-Exploratorio,random_forest,18,0.9245999130245703,0.9039042941108576,19,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 10, ""n_estimators"": 50}",0.9142857142857143,0.9142857142857143,0.9729941291585127,0.9444444444444444
