experiment,status,elapsed_seconds,best_fitness,recall_pos,f1_pos,auc_roc,accuracy,population_size,generations,mutation_rate,crossover_rate,best_genes
job_validacao_a,success,2.389,0.9106241440288377,0.9142857142857143,0.8767123287671232,0.9663405088062622,0.9166666666666666,6,2,0.1,0.7,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 50}"
job_validacao_b,success,2.252,0.9101518738295141,0.9142857142857143,0.8767123287671232,0.9671232876712329,0.9166666666666666,6,2,0.25,0.8,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 200}"
job_validacao_individual,success,2.126,0.9076869726869726,0.9142857142857143,0.8648648648648649,0.9714285714285715,0.9074074074074074,6,2,0.1,0.7,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 300}"
