accuracy,precision_pos,recall_pos,f1_pos,auc_roc,confusion_matrix,model,genes
0.8990825688073395,0.8205128205128205,0.8888888888888888,0.8533333333333334,0.963089802130898,"[[66, 7], [4, 32]]",baseline_Regressao Logistica,
0.8623853211009175,0.7837837837837838,0.8055555555555556,0.7945205479452054,0.8700532724505328,"[[65, 8], [7, 29]]",baseline_Arvore de Decisao,
0.9357798165137615,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9505327245053273,"[[72, 1], [6, 30]]",baseline_Random Forest,
0.908256880733945,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9613774733637748,"[[71, 2], [8, 28]]",baseline_KNN,
0.926605504587156,0.9375,0.8333333333333334,0.8823529411764706,0.9497716894977168,"[[71, 2], [6, 30]]",optimized_GA-Conservador,"{""class_weight"": null, ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 200}"
